person_id,gender,age_group,cemetery,cemetery_code,cemetery_id
pr-BBP07-106.0,female,26-35,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-108.0,female,36-45,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-110.0,male,Adult,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-113.0,male,18-25,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-120.0,male,26-35,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-125.0,female,46+,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-132.0,female,26-35,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-143.0,female,26-35,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-154.0,female,26-35,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-16.0,female,36-45,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-163.0,female,36-45,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-165.0,male,26-35,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-18.0,male,36-45,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-188.0,female,36-45,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-190.0,female,46+,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-194.0,female,26-35,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-199.0,female,36-45,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-220.0,female,46+,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-225.0,male,46+,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-234.0,female,36-45,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-236.0,female,46+,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-237.0,male,46+,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-24.0,female,36-45,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-30.0,unknown,Adult,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-32.0,unknown,Adult,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-37.0,female,46+,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-42.0,male,46+,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-49.0,female,Adult,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-52.0,female,46+,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-53.0,female,46+,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-54.0,male,36-45,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-58.0,female,18-25,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-72.0,male,46+,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-76.0,female,26-35,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-9.0,unknown,Adult,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-92.0,female,26-35,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-95.0,unknown,Adult,Payne Road/Bow Baptist,BBP07,pr
pr-BBP07-97.0,male,36-45,Payne Road/Bow Baptist,BBP07,pr
pr-PAY05-109.0,female,18-25,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-132.0,male,26-35,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-134.0,female,Adult,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-139.0,female,26-35,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-146.0,female,26-35,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-169.0,female,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-176.0,female,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-179.0,female,26-35,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-181.0,female,18-25,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-198.0,female,Adult,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-228.0,female,18-25,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-235.0,female,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-254.0,female,26-35,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-263.0,female,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-267.0,female,Adult,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-273.0,female,Adult,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-283.0,female,18-25,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-292.0,female,18-25,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-299.0,male,18-25,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-305.0,female,26-35,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-315.0,female,18-25,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-322.0,male,18-25,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-342.0,male,26-35,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-344.0,male,46+,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-366.0,female,18-25,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-368.0,male,46+,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-385.0,female,Adult,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-390.0,female,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-392.0,female,26-35,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-399.0,unknown,46+,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-408.0,female,46+,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-412.0,male,Adult,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-413.0,female,26-35,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-449.0,female,46+,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-451.0,female,46+,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-471.0,female,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-473.0,male,26-35,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-476.0,male,Adult,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-489.0,female,18-25,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-497.0,female,26-35,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-506.0,male,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-520.0,female,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-530.0,unknown,Adult,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-536.0,female,Adult,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-538.0,male,26-35,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-541.0,male,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-543.0,unknown,Adult,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-547.0,female,26-35,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-551.0,female,26-35,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-556.0,unknown,Adult,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-560.0,male,18-25,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-573.0,female,26-35,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-574.0,female,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-579.0,female,26-35,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-587.0,female,46+,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-594.0,unknown,Adult,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-596.0,male,46+,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-601.0,female,26-35,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-602.0,unknown,Adult,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-616.0,female,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-633.0,unknown,26-35,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-635.0,female,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-647.0,female,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-650.0,male,26-35,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-652.0,male,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-653.0,female,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-657.0,female,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-661.0,female,26-35,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-663.0,male,Adult,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-664.0,female,26-35,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-668.0,female,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-683.0,female,46+,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-686.0,female,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-697.0,male,18-25,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-702.0,male,46+,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-706.0,male,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-721.0,female,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-725.0,unknown,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-727.0,female,36-45,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-756.0,female,46+,Payne Road/Bow Baptist,PAY05,pr
pr-PAY05-764.0,male,18-25,Payne Road/Bow Baptist,PAY05,pr
